customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
22,59000,3,123.0,4,2,35000,16.02,10,2,3,0
21,9600,2,5.0,1,0,1000,11.14,1,1,2,1
25,9600,0,1.0,3,1,5500,12.87,5,0,3,0
23,65500,3,4.0,3,1,35000,15.23,10,0,2,0
24,54400,3,8.0,3,1,35000,14.27,10,2,4,0
21,9900,2,2.0,5,0,2500,7.14,1,0,2,0
26,77100,3,8.0,1,0,35000,12.42,10,1,3,1
24,78956,3,5.0,3,0,35000,11.11,10,1,4,1
24,83000,3,8.0,4,0,35000,8.9,10,1,2,1
21,10000,2,6.0,5,2,1600,14.74,1,0,3,0
22,85000,3,6.0,5,0,35000,10.37,10,1,4,1
21,10000,2,2.0,2,0,4500,8.63,1,0,2,0
23,95000,3,2.0,5,0,35000,7.9,10,1,2,1
26,108160,3,4.0,1,3,35000,18.39,10,0,4,0
23,115000,3,2.0,1,0,35000,7.9,10,1,4,1
23,500000,0,7.0,0,0,30000,10.65,10,1,3,1
23,120000,3,0.0,1,0,35000,7.9,10,1,4,1
23,92111,3,7.0,3,4,35000,20.25,10,0,4,0
23,113000,3,8.0,0,2,35000,18.25,10,0,4,0
24,10800,0,8.0,1,0,1750,10.99,4,0,2,0
25,162500,3,2.0,5,0,35000,7.49,10,1,4,1
25,137000,3,9.0,4,3,34800,16.77,10,2,2,1
22,65000,3,4.0,1,2,34000,17.58,10,0,4,0
24,10980,2,0.0,4,0,1500,7.29,4,2,3,1
22,80000,3,3.0,4,2,33950,14.54,10,2,4,0
24,67746,3,8.0,2,1,33000,12.68,10,0,3,0
21,11000,0,3.0,5,3,4575,17.74,1,2,3,0
23,11000,2,0.0,4,0,1400,9.32,3,1,3,1
24,65000,3,6.0,2,0,32500,9.99,10,1,3,1
21,11389,1,5.0,1,1,4000,12.84,1,2,2,0
21,11520,2,5.0,3,0,2000,11.12,1,0,3,0
25,120000,3,2.0,5,0,32000,6.62,10,1,2,1
26,95000,3,7.0,2,1,31050,14.17,10,2,3,0
25,306000,3,2.0,0,1,24250,13.85,10,1,3,1
